,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,-1.0,3.0,65.0,8450,2,-1,4,4,4,5,3,20.0,7,7,5.0,5,7,5,2003,2003,5,7,3.0,3.0,4,196.0,4,3,4,5,4,2,7,706,0,150,856,5,5,2,5,856,854,0,1710,1,0,2,1,3,1,4,8,8,0,-1,6,2003.0,3,2,548,4,4,3,0,61,0,0,0,0,-1,-1,-1,0,2,2008,10,6,208500
1,-1.0,3.0,80.0,9600,2,-1,4,4,4,2,3,1.0,8,7,5.0,8,6,8,1976,1976,5,7,9.0,9.0,-1,0.0,3,3,5,5,4,5,6,978,0,284,1262,5,5,2,5,1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,4,6,1976.0,3,2,460,4,4,3,298,0,0,0,0,0,-1,-1,-1,0,5,2007,10,6,181500
2,-1.0,3.0,68.0,11250,2,-1,3,4,4,5,3,20.0,7,7,5.0,5,7,5,2001,2002,5,7,3.0,3.0,4,162.0,4,3,4,5,4,3,7,486,0,434,920,5,5,2,5,920,866,0,1786,1,0,2,1,3,1,4,6,8,1,4,6,2001.0,3,2,608,4,4,3,0,42,0,0,0,0,-1,-1,-1,0,9,2008,10,6,223500
3,-1.0,3.0,60.0,9550,2,-1,3,4,4,4,3,19.0,7,7,5.0,5,7,5,1915,1970,5,7,-1.0,-1.0,-1,0.0,3,3,6,4,5,2,6,216,0,540,756,5,4,2,5,961,756,0,1717,1,0,1,0,3,1,4,7,8,1,5,2,1998.0,2,3,642,4,4,3,0,35,272,0,0,0,-1,-1,-1,0,2,2006,10,5,140000
4,-1.0,3.0,84.0,14260,2,-1,3,4,4,2,3,12.0,7,7,5.0,5,8,5,2000,2000,5,7,3.0,3.0,4,350.0,4,3,4,5,4,4,7,655,0,490,1145,5,5,2,5,1145,1053,0,2198,1,0,2,1,4,1,4,9,8,1,4,6,2000.0,3,3,836,4,4,3,192,84,0,0,0,0,-1,-1,-1,0,12,2008,10,6,250000
5,-1.0,3.0,85.0,14115,2,-1,3,4,4,5,3,14.0,7,7,5.0,7,5,5,1993,1995,5,7,3.0,3.0,-1,0.0,3,3,1,5,4,2,7,732,0,64,796,5,5,2,5,796,566,0,1362,1,0,1,1,1,1,3,5,8,0,-1,6,1993.0,2,2,480,4,4,3,40,30,0,320,0,0,-1,4,3,700,10,2009,10,6,143000
6,-1.0,3.0,75.0,10084,2,-1,4,4,4,5,3,4.0,7,7,5.0,8,8,5,2004,2005,5,7,3.0,3.0,1,186.0,4,3,4,6,4,4,7,1369,0,317,1686,5,5,2,5,1694,0,0,1694,1,0,2,0,3,1,4,7,8,1,5,6,2004.0,3,2,636,4,4,3,255,57,0,0,0,0,-1,-1,-1,0,8,2007,10,6,307000
7,-1.0,3.0,69.0,10382,2,-1,3,4,4,4,3,9.0,4,7,5.0,5,7,6,1973,1973,5,7,11.0,11.0,1,240.0,3,3,5,5,4,3,6,859,32,216,1107,5,5,2,5,1107,983,0,2090,1,0,2,1,3,1,3,7,8,2,4,6,1973.0,3,2,484,4,4,3,235,204,228,0,0,0,-1,-1,3,350,11,2009,10,6,200000
8,-1.0,1.0,51.0,6120,2,-1,4,4,4,5,3,8.0,9,7,5.0,7,7,5,1931,1950,5,7,14.0,-1.0,-1,0.0,3,3,6,4,4,2,2,0,0,952,952,5,4,2,3,1022,752,0,1774,0,0,2,0,2,2,3,8,7,2,4,2,1931.0,2,2,468,3,4,3,90,0,205,0,0,0,-1,-1,-1,0,4,2008,10,5,129900
9,-1.0,3.0,50.0,7420,2,-1,4,4,4,4,3,22.0,9,9,-1.0,6,5,6,1939,1950,5,7,9.0,9.0,-1,0.0,3,3,6,4,4,2,7,851,0,140,991,5,5,2,5,1077,0,0,1077,1,0,1,0,2,2,3,5,8,2,4,6,1939.0,3,1,205,5,4,3,0,4,0,0,0,0,-1,-1,-1,0,1,2008,10,6,118000
10,-1.0,3.0,70.0,11200,2,-1,4,4,4,5,3,6.0,7,7,5.0,8,5,5,1965,1965,3,7,11.0,11.0,-1,0.0,3,3,5,4,4,2,4,906,0,134,1040,5,5,2,5,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,-1,2,1965.0,2,1,384,4,4,3,0,0,0,0,0,0,-1,-1,-1,0,2,2008,10,6,129500
11,-1.0,3.0,85.0,11924,2,-1,3,4,4,5,3,10.0,7,7,5.0,5,9,5,2005,2006,3,7,1.0,-1.0,1,286.0,5,3,4,6,4,2,7,998,0,177,1175,5,5,2,5,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,5,4,2005.0,4,3,736,4,4,3,147,21,0,0,0,0,-1,-1,-1,0,7,2006,7,1,345000
12,-1.0,3.0,69.0,12968,2,-1,2,4,4,5,3,6.0,7,7,5.0,8,5,6,1962,1962,3,7,11.0,7.0,-1,0.0,3,3,5,4,4,2,6,737,0,175,912,5,3,2,5,912,0,0,912,1,0,1,0,2,1,3,4,8,0,-1,2,1962.0,2,1,352,4,4,3,140,0,0,0,176,0,-1,-1,-1,0,9,2008,10,6,144000
13,-1.0,3.0,91.0,10652,2,-1,3,4,4,5,3,20.0,7,7,5.0,8,7,5,2006,2007,5,7,3.0,3.0,1,306.0,4,3,4,5,4,4,2,0,0,1494,1494,5,5,2,5,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,5,6,2006.0,3,3,840,4,4,3,160,33,0,0,0,0,-1,-1,-1,0,8,2007,7,1,279500
